'14:44:06', '2600', '26.780', 'DOWN'
'14:44:00', '5400', '26.790', 'UP'
'14:43:57', '2200', '26.780', 'DOWN'
'14:43:54', '900', '26.790', 'UP'
'14:43:51', '2200', '26.780', 'DOWN'
'14:43:48', '800', '26.780', 'DOWN'
'14:43:45', '300', '26.790', 'UP'
'14:43:39', '1400', '26.780', 'DOWN'
'14:43:36', '1500', '26.780', 'DOWN'
'14:43:33', '8400', '26.780', 'DOWN'
'14:43:30', '9600', '26.790', 'UP'
'14:43:27', '103700', '26.770', 'DOWN'
'14:43:24', '1000', '26.770', 'DOWN'
'14:43:21', '100', '26.770', 'DOWN'
'14:43:18', '600', '26.770', 'DOWN'
'14:43:15', '100', '26.770', 'DOWN'
'14:43:12', '2000', '26.780', 'UP'
'14:43:09', '900', '26.780', 'UP'
'14:43:06', '1700', '26.780', 'UP'
'14:43:03', '700', '26.770', 'DOWN'
'14:43:00', '1300', '26.770', 'DOWN'
'14:42:57', '3400', '26.780', 'UP'
'14:42:54', '6900', '26.770', 'EQUAL'
'14:42:51', '12300', '26.760', 'DOWN'
'14:42:48', '110560', '26.780', 'UP'
'14:42:45', '900', '26.760', 'DOWN'
'14:42:42', '1400', '26.760', 'DOWN'
'14:42:39', '1600', '26.760', 'DOWN'
'14:42:36', '600', '26.760', 'DOWN'
'14:42:33', '1200', '26.780', 'UP'
'14:42:30', '4200', '26.780', 'UP'
'14:42:27', '500', '26.780', 'UP'
'14:42:24', '2300', '26.770', 'DOWN'
'14:42:21', '800', '26.770', 'DOWN'
'14:42:15', '12200', '26.770', 'DOWN'
'14:42:12', '4600', '26.770', 'UP'
'14:42:09', '9300', '26.760', 'DOWN'
'14:42:06', '400', '26.760', 'DOWN'
'14:42:03', '200', '26.770', 'UP'
'14:42:00', '8100', '26.780', 'UP'
'14:41:57', '500', '26.770', 'EQUAL'
'14:41:54', '300', '26.760', 'DOWN'
'14:41:51', '2400', '26.790', 'UP'
'14:41:48', '8100', '26.780', 'UP'
'14:41:45', '27218', '26.760', 'DOWN'
'14:41:42', '600', '26.790', 'UP'
'14:41:36', '400', '26.780', 'DOWN'
'14:41:33', '1900', '26.780', 'DOWN'
'14:41:30', '400', '26.780', 'DOWN'
'14:41:27', '1700', '26.780', 'DOWN'
'14:41:24', '1300', '26.780', 'DOWN'
'14:41:21', '8582', '26.790', 'UP'
'14:41:18', '19900', '26.780', 'DOWN'
'14:41:15', '1000', '26.780', 'DOWN'
'14:41:12', '100', '26.790', 'UP'
'14:41:09', '3700', '26.780', 'DOWN'
'14:41:06', '1400', '26.780', 'DOWN'
'14:41:03', '7700', '26.790', 'UP'
'14:41:00', '1500', '26.780', 'DOWN'
'14:40:57', '1200', '26.790', 'UP'
'14:40:54', '2500', '26.770', 'DOWN'
'14:40:51', '1600', '26.770', 'DOWN'
'14:40:48', '28300', '26.780', 'DOWN'
'14:40:45', '36400', '26.780', 'DOWN'
'14:40:42', '3700', '26.780', 'DOWN'
'14:40:39', '6100', '26.780', 'DOWN'
'14:40:36', '1700', '26.780', 'DOWN'
'14:40:33', '300', '26.780', 'DOWN'
'14:40:30', '200', '26.790', 'UP'
'14:40:27', '1500', '26.780', 'DOWN'
'14:40:21', '400', '26.780', 'EQUAL'
'14:40:18', '100', '26.770', 'DOWN'
'14:40:15', '10000', '26.770', 'DOWN'
'14:40:12', '79100', '26.800', 'UP'
'14:40:09', '7000', '26.790', 'UP'
'14:40:06', '8100', '26.780', 'DOWN'
'14:40:03', '1400', '26.780', 'DOWN'
'14:40:00', '2400', '26.780', 'DOWN'
'14:39:57', '35300', '26.790', 'UP'
'14:39:54', '1500', '26.780', 'DOWN'
'14:39:51', '600', '26.790', 'UP'
'14:39:48', '300', '26.780', 'DOWN'
'14:39:45', '42500', '26.780', 'DOWN'
'14:39:42', '3900', '26.820', 'UP'
'14:39:39', '352000', '26.780', 'DOWN'
