上证50
上证50选取的是沪市中规模大、流动性最好的50只股票，也就是我们常说的“漂亮50”。
这是一个极不均匀的指数，行业的集中度非常高。从上图可以明显看出，金融股占据了62%的比重。银行、保险、证券成为了指数的三大巨头。当然有利必有弊，上证50常被人诟病的地方也在这，它的走势很容易被金融板块绑架。但不得不说，上证50是一个波动比较小，资产质量比较好的指数。

序号	股票代码	股票简称	最新价(元)	相关资料	主营行业	地区	权重(%)	每股收益(元)	每股净资产(元)	净资产收益率(%)	总股本(亿股)	流通股本(亿股)	流通市值(亿元)
45	601233	桐昆股份	14.16	股吧 行情 档案 资讯	基础化工	嘉兴市	0.37	1.34	9.68	14.15	18.48	18.48	261.67
46	002385	大北农	5.85	股吧 行情 档案 资讯	农林牧渔	北京市	0.36	0.07	2.38	3.04	41.95	27.82	162.72
47	600885	宏发股份	34.37	股吧 行情 档案 资讯	电气设备	武汉市	0.36	0.75	6.41	12.07	7.45	7.45	255.97
48	600161	天坛生物	31.32	股吧 行情 档案 资讯	医药生物	北京市	0.35	0.45	3.63	13.03	10.45	10.45	327.41
49	603444	吉比特	372.50	股吧 行情 档案 资讯	文化传媒	厦门市	0.35	9.34	40.75	22.96	0.72	0.72	266.86
50	000623	吉林敖东	16.33	股吧 行情 档案 资讯	医药生物	延边朝鲜族自治州	0.35	1.00	18.52	5.38	11.63	11.42	186.50
51	002268	卫士通	25.72	股吧 行情 档案 资讯	信息技术	成都市	0.34	-0.08	5.17	-1.46	8.38	8.10	208.30
52	600801	华新水泥	21.40	股吧 行情 档案 资讯	建材	黄石市	0.34	2.31	9.47	26.53	20.97	20.97	291.44
53	002078	太阳纸业	9.29	股吧 行情 档案 资讯	轻工制造	济宁市	0.34	0.57	5.29	11.20	25.92	25.70	238.75
54	002195	二三四五	3.16	股吧 行情 档案 资讯	信息技术	上海市	0.33	0.13	1.73	7.58	57.70	56.62	178.92
55	000401	冀东水泥	15.30	股吧 行情 档案 资讯	建材	唐山市	0.33	1.72	9.50	16.27	13.48	13.47	206.12
56	002131	利欧股份	3.05	股吧 行情 档案 资讯	文化传媒	台州市	0.33	0.05	1.22	4.12	66.81	54.07	164.92
57	600150	中国船舶	21.41	股吧 行情 档案 资讯	交运设备	上海市	0.33	0.07	10.94	0.64	13.78	13.78	295.05
58	000547	航天发展	13.30	股吧 行情 档案 资讯	信息技术	福州市	0.33	0.19	4.64	4.30	16.06	11.02	146.55
59	300001	特锐德	25.03	股吧 行情 档案 资讯	电气设备	青岛市	0.33	0.15	3.24	4.89	9.98	9.22	230.70
60	002926	华西证券	10.60	股吧 行情 档案 资讯	金融	成都市	0.32	0.43	7.38	5.94	26.25	17.78	188.48
61	002174	游族网络	27.70	股吧 行情 档案 资讯	文化传媒	泉州市	0.32	0.81	5.97	14.14	8.88	6.45	178.63
62	600298	安琪酵母	27.97	股吧 行情 档案 资讯	食品饮料	宜昌市	0.32	0.81	5.82	14.64	8.24	8.24	230.50
63	600673	东阳光	9.21	股吧 行情 档案 资讯	有色金属	韶关市	0.32	0.27	2.27	11.69	30.14	24.57	226.33
64	600079	人福医药	14.67	股吧 行情 档案 资讯	医药生物	武汉市	0.32	0.51	7.21	7.07	13.54	12.86	188.66
65	300296	利亚德	7.56	股吧 行情 档案 资讯	电子设备	北京市	0.31	0.32	3.28	9.96	25.43	18.60	140.63
66	000513	丽珠集团	37.95	股吧 行情 档案 资讯	医药生物	珠海市	0.31	1.11	11.62	9.67	9.35	9.15	226.03
67	300168	万达信息	15.56	股吧 行情 档案 资讯	信息技术	上海市	0.31	0.04	3.30	1.14	11.40	11.31	175.98
68	601231	环旭电子	19.77	股吧 行情 档案 资讯	电子设备	上海市	0.31	0.40	4.51	8.96	21.79	21.79	430.81
69	601799	星宇股份	98.50	股吧 行情 档案 资讯	交运设备	常州市	0.31	1.92	16.76	11.81	2.76	2.76	272.01
70	000997	新大陆	18.67	股吧 行情 档案 资讯	信息技术	福州市	0.31	0.62	5.44	11.48	10.52	10.16	189.71
71	002500	山西证券	7.92	股吧 行情 档案 资讯	金融	太原市	0.31	0.18	4.48	4.05	28.29	28.29	224.04
72	600642	申能股份	5.54	股吧 行情 档案 资讯	公用事业	上海市	0.31	0.36	5.91	6.10	49.12	45.52	252.18
73	601872	招商轮船	6.31	股吧 行情 档案 资讯	交通运输	上海市	0.30	0.12	3.49	3.49	67.40	52.99	334.40
74	601100	恒立液压	50.49	股吧 行情 档案 资讯	机械设备	常州市	0.30	1.04	5.89	18.83	8.82	8.82	445.32
75	002019	亿帆医药	17.90	股吧 行情 档案 资讯	医药生物	杭州市	0.30	0.61	5.92	10.67	12.37	8.10	145.00
76	600256	广汇能源	3.25	股吧 行情 档案 资讯	能源	乌鲁木齐市	0.30	0.18	2.29	7.77	67.94	67.54	219.51
77	300316	晶盛机电	19.55	股吧 行情 档案 资讯	电气设备	绍兴市	0.30	0.37	3.41	11.18	12.84	12.04	235.45
78	002507	涪陵榨菜	23.55	股吧 行情 档案 资讯	食品饮料	重庆市	0.30	0.66	3.53	19.71	7.89	7.78	183.11
79	600728	佳都科技	9.59	股吧 行情 档案 资讯	信息技术	广州市	0.30	0.36	2.84	14.07	16.71	16.37	157.00
80	002572	索菲亚	19.69	股吧 行情 档案 资讯	轻工制造	广州市	0.29	0.79	5.57	14.52	9.12	6.37	125.46
81	000999	华润三九	35.76	股吧 行情 档案 资讯	医药生物	深圳市	0.29	2.01	12.69	16.94	9.79	9.78	349.87
82	002223	鱼跃医疗	24.41	股吧 行情 档案 资讯	医药生物	镇江市	0.29	0.71	6.05	12.37	10.02	8.67	211.60
83	600879	航天电子	6.14	股吧 行情 档案 资讯	交运设备	武汉市	0.29	0.13	4.51	2.91	27.19	24.18	148.45
84	002250	联化科技	16.77	股吧 行情 档案 资讯	基础化工	台州市	0.29	0.32	6.48	5.02	9.24	8.97	150.37
85	300166	东方国信	15.04	股吧 行情 档案 资讯	信息技术	北京市	0.29	0.18	4.92	3.62	10.57	8.18	123.03
86	600460	士兰微	16.95	股吧 行情 档案 资讯	电子设备	杭州市	0.29	0.04	2.61	1.47	13.12	13.12	222.39
87	600909	华安证券	6.97	股吧 行情 档案 资讯	金融	合肥市	0.29	0.24	3.60	6.84	36.21	36.21	252.38
88	002212	南洋股份	21.80	股吧 行情 档案 资讯	电气设备	汕头市	0.29	-0.10	7.25	-1.35	11.58	8.96	195.42
89	600704	物产中大	5.05	股吧 行情 档案 资讯	商贸零售	杭州市	0.29	0.49	4.46	9.68	50.62	43.07	217.49
90	600446	金证股份	20.53	股吧 行情 档案 资讯	信息技术	深圳市	0.29	0.11	2.05	5.45	8.60	8.53	175.16
91	603939	益丰药房	83.00	股吧 行情 档案 资讯	医药生物	常德市	0.29	1.11	11.70	9.85	3.79	3.67	304.55
92	600845	宝信软件	37.62	股吧 行情 档案 资讯	信息技术	上海市	0.29	0.53	5.96	9.06	11.40	11.31	313.40
93	000636	风华高科	16.34	股吧 行情 档案 资讯	电子设备	肇庆市	0.29	0.39	6.19	6.44	8.95	8.95	146.28
94	300058	蓝色光标	6.21	股吧 行情 档案 资讯	文化传媒	北京市	0.29	0.27	3.50	8.35	24.91	21.78	135.23
95	002387	维信诺	15.50	股吧 行情 档案 资讯	食品饮料	苏州市	0.29	-0.04	10.86	-0.41	13.68	10.68	165.51
96	002281	光迅科技	29.55	股吧 行情 档案 资讯	信息技术	武汉市	0.28	0.40	6.50	6.81	6.77	6.29	185.74
97	300418	昆仑万维	18.78	股吧 行情 档案 资讯	文化传媒	北京市	0.28	0.83	3.87	19.71	11.48	8.94	167.94
98	600486	扬农化工	64.52	股吧 行情 档案 资讯	基础化工	扬州市	0.28	3.45	16.20	22.17	3.10	3.10	199.95
99	300113	顺网科技	30.10	股吧 行情 档案 资讯	文化传媒	杭州市	0.28	0.51	3.96	12.25	6.94	4.78	143.80
100	601168	西部矿业	6.49	股吧 行情 档案 资讯	有色金属	西宁市	0.28	0.34	4.10	8.75	23.83	23.83	154.66
101	002013	中航机电	6.84	股吧 行情 档案 资讯	交运设备	襄阳市	0.28	0.16	2.57	6.03	36.09	36.08	246.82
102	002152	广电运通	10.13	股吧 行情 档案 资讯	信息技术	广州市	0.28	0.21	3.70	5.72	24.09	23.93	242.45
103	600325	华发股份	7.28	股吧 行情 档案 资讯	房地产	珠海市	0.28	0.82	5.95	10.34	21.17	21.08	153.43
104	000686	东北证券	8.63	股吧 行情 档案 资讯	金融	长春市	0.28	0.37	6.62	5.68	23.40	23.40	201.98
105	000975	银泰黄金	12.39	股吧 行情 档案 资讯	有色金属	锡林郭勒盟	0.28	0.34	4.44	7.68	19.83	12.37	153.32
106	603517	绝味食品	38.18	股吧 行情 档案 资讯		长沙市	0.27	1.06	6.21	18.27	6.09	2.64	100.72
107	603000	人民网	21.24	股吧 行情 档案 资讯	文化传媒	北京市	0.27	0.08	2.67	3.15	11.06	11.06	234.85
108	603858	步长制药	20.79	股吧 行情 档案 资讯	医药生物	菏泽市	0.27	1.21	11.42	10.08	11.42	11.42	237.33
109	300274	阳光电源	11.39	股吧 行情 档案 资讯	电气设备	合肥市	0.27	0.38	5.69	6.93	14.57	10.75	122.39
110	603659	璞泰来	89.44	股吧 行情 档案 资讯		上海市	0.27	1.05	7.36	15.01	4.35	1.94	173.09
111	300308	中际旭创	53.46	股吧 行情 档案 资讯	电气设备	烟台市	0.26	0.50	9.44	6.22	7.13	3.51	187.42
112	002414	高德红外	31.07	股吧 行情 档案 资讯	电子设备	武汉市	0.26	0.25	3.78	6.74	9.36	7.34	227.98
113	600521	华海药业	17.49	股吧 行情 档案 资讯	医药生物	台州市	0.26	0.41	4.20	10.63	13.22	12.51	218.77
114	002217	合力泰	6.10	股吧 行情 档案 资讯	电子设备	莆田市	0.26	0.21	3.82	5.77	31.16	27.00	164.70
115	600132	重庆啤酒	47.91	股吧 行情 档案 资讯	食品饮料	重庆市	0.26	1.23	2.79	47.57	4.84	4.84	231.87
116	600410	华胜天成	10.39	股吧 行情 档案 资讯	信息技术	北京市	0.26	0.25	4.54	5.63	10.99	10.99	114.16
117	600528	中铁工业	10.35	股吧 行情 档案 资讯	建筑	北京市	0.26	0.57	7.55	7.80	22.22	18.38	190.21
118	300182	捷成股份	5.30	股吧 行情 档案 资讯	信息技术	北京市	0.26	0.12	3.95	3.08	25.75	17.91	94.92
119	600572	康恩贝	6.07	股吧 行情 档案 资讯	医药生物	金华市	0.26	0.18	2.04	8.56	26.67	26.61	161.50
120	002670	国盛金控	11.50	股吧 行情 档案 资讯	金融	佛山市	0.26	0.05	5.99	0.81	19.35	16.23	186.63
121	002075	沙钢股份	6.16	股吧 行情 档案 资讯	钢铁	苏州市	0.26	0.17	2.18	7.99	22.07	22.07	135.94
122	600895	张江高科	14.50	股吧 行情 档案 资讯	房地产	上海市	0.26	0.30	5.94	5.25	15.49	15.49	224.56
123	000581	威孚高科	18.28	股吧 行情 档案 资讯	交运设备	无锡市	0.25	1.71	16.30	10.67	10.09	10.09	152.91
124	600820	隧道股份	5.82	股吧 行情 档案 资讯	建筑	上海市	0.25	0.44	6.82	6.64	31.44	31.44	182.99
125	600260	凯乐科技	12.80	股吧 行情 档案 资讯	综合	荆州市	0.25	0.97	6.39	16.22	10.01	9.49	121.47
126	002092	中泰化学	6.20	股吧 行情 档案 资讯	基础化工	乌鲁木齐市	0.25	0.19	8.83	2.14	21.46	21.46	133.07
127	000960	锡业股份	10.56	股吧 行情 档案 资讯	有色金属	昆明市	0.25	0.35	7.44	4.77	16.69	16.69	176.22
128	000021	深科技	14.91	股吧 行情 档案 资讯	信息技术	深圳市	0.24	0.19	4.39	4.27	14.71	14.69	219.08
129	601966	玲珑轮胎	22.06	股吧 行情 档案 资讯	基础化工	烟台市	0.24	1.02	8.59	11.80	12.00	11.87	261.90
130	603707	健友股份	49.74	股吧 行情 档案 资讯		南京市	0.24	0.62	3.90	17.17	7.18	3.71	184.45
131	600567	山鹰纸业	3.35	股吧 行情 档案 资讯	轻工制造	马鞍山市	0.24	0.29	3.03	9.68	45.85	45.85	153.59
132	300115	长盈精密	20.49	股吧 行情 档案 资讯	电子设备	深圳市	0.24	0.21	4.84	4.29	9.10	9.05	185.52
133	002368	太极股份	41.66	股吧 行情 档案 资讯	信息技术	北京市	0.24	0.19	6.88	2.68	4.13	4.05	168.67
134	000778	新兴铸管	3.84	股吧 行情 档案 资讯	钢铁	邯郸市	0.24	0.33	5.28	6.28	39.91	39.21	150.58
135	600415	小商品城	3.91	股吧 行情 档案 资讯	商贸零售	金华市	0.24	0.19	2.31	8.40	54.43	54.43	212.83
136	600171	上海贝岭	19.21	股吧 行情 档案 资讯	电子设备	上海市	0.24	0.24	4.18	6.37	7.04	6.74	129.44
137	600884	杉杉股份	13.49	股吧 行情 档案 资讯	有色金属	宁波市	0.24	0.26	10.26	2.59	11.23	11.23	151.46
138	000878	云南铜业	12.05	股吧 行情 档案 资讯	有色金属	昆明市	0.24	0.36	4.91	7.69	17.00	14.16	170.68
139	600466	蓝光发展	6.87	股吧 行情 档案 资讯	房地产	成都市	0.24	0.77	4.45	15.31	30.13	30.13	206.96
140	600497	驰宏锌锗	4.10	股吧 行情 档案 资讯	有色金属	曲靖市	0.24	0.16	2.93	5.63	50.91	43.10	176.71
141	600549	厦门钨业	12.50	股吧 行情 档案 资讯	有色金属	厦门市	0.24	0.19	5.24	3.64	14.06	14.06	175.76
142	002110	三钢闽光	8.46	股吧 行情 档案 资讯	钢铁	三明市	0.24	1.15	7.29	15.61	24.52	22.04	186.42
143	000690	宝新能源	5.93	股吧 行情 档案 资讯	公用事业	梅州市	0.23	0.22	4.18	5.28	21.76	20.84	123.59
144	600718	东软集团	11.48	股吧 行情 档案 资讯	信息技术	沈阳市	0.23	0.03	7.01	0.41	12.42	12.42	142.62
145	000060	中金岭南	4.06	股吧 行情 档案 资讯	有色金属	深圳市	0.23	0.18	3.01	6.04	35.70	35.68	144.87
146	601005	重庆钢铁	1.75	股吧 行情 档案 资讯	钢铁	重庆市	0.23	0.08	2.15	3.82	89.19	89.19	146.66
147	002690	美亚光电	36.89	股吧 行情 档案 资讯	机械设备	合肥市	0.23	0.59	3.31	17.65	6.76	3.28	120.96
148	600380	健康元	10.38	股吧 行情 档案 资讯	医药生物	深圳市	0.23	0.40	5.32	7.80	19.38	19.38	201.17
149	600273	嘉化能源	9.97	股吧 行情 档案 资讯	基础化工	嘉兴市	0.23	0.67	4.82	14.01	14.33	14.14	140.95
150	002191	劲嘉股份	11.09	股吧 行情 档案 资讯	轻工制造	深圳市	0.23	0.46	4.58	10.20	14.65	12.72	141.10
151	600881	亚泰集团	3.05	股吧 行情 档案 资讯	建材	长春市	0.23	0.03	4.48	0.57	32.49	32.23	98.31
152	000830	鲁西化工	9.66	股吧 行情 档案 资讯	基础化工	聊城市	0.23	0.58	7.08	8.19	14.65	14.64	141.43
153	600094	大名城	6.21	股吧 行情 档案 资讯	房地产	上海市	0.22	0.19	5.10	3.73	24.75	24.75	141.38
154	603882	金域医学	50.45	股吧 行情 档案 资讯		广州市	0.22	0.70	4.78	15.59	4.58	2.80	141.08
155	600875	东方电气	8.88	股吧 行情 档案 资讯	电气设备	成都市	0.22	0.34	9.48	3.58	31.19	23.37	177.32
156	600373	中文传媒	14.37	股吧 行情 档案 资讯	文化传媒	上饶市	0.22	0.92	9.90	9.46	13.55	13.55	194.72
157	000039	中集集团	9.17	股吧 行情 档案 资讯	机械设备	深圳市	0.22	0.14	9.50	1.68	35.85	35.84	139.72
158	601333	广深铁路	2.87	股吧 行情 档案 资讯	交通运输	深圳市	0.22	0.12	4.14	3.01	70.84	70.84	162.22
159	600021	上海电力	7.46	股吧 行情 档案 资讯	公用事业	上海市	0.22	0.35	6.02	5.76	26.17	23.47	175.10
160	600839	四川长虹	2.64	股吧 行情 档案 资讯	家电	绵阳市	0.22	0.01	2.80	0.30	46.16	46.14	121.82
161	603338	浙江鼎力	69.78	股吧 行情 档案 资讯	机械设备	湖州市	0.22	1.28	8.53	15.96	3.47	3.47	241.98
162	600160	巨化股份	6.97	股吧 行情 档案 资讯	基础化工	衢州市	0.22	0.32	4.73	6.97	27.45	27.45	191.34
163	600779	水井坊	51.39	股吧 行情 档案 资讯	食品饮料	成都市	0.22	1.31	3.95	33.75	4.89	4.88	250.94
164	600060	海信视像	12.48	股吧 行情 档案 资讯	家电	青岛市	0.22	0.20	10.89	1.87	13.08	13.08	163.30
165	002085	万丰奥威	7.25	股吧 行情 档案 资讯	交运设备	绍兴市	0.22	0.28	2.77	9.71	21.87	21.14	153.25
166	600376	首开股份	7.42	股吧 行情 档案 资讯	房地产	北京市	0.22	0.82	9.31	7.94	25.80	25.80	191.40
167	300009	安科生物	16.46	股吧 行情 档案 资讯	医药生物	合肥市	0.22	0.25	2.63	10.97	10.50	6.87	113.04
168	002807	江阴银行	4.45	股吧 行情 档案 资讯	金融	无锡市	0.22	0.32	5.05	5.83	21.72	21.57	95.99
169	600811	东方集团	3.24	股吧 行情 档案 资讯	综合	哈尔滨市	0.22	0.13	5.65	2.28	37.15	37.15	120.35
170	600315	上海家化	28.45	股吧 行情 档案 资讯	基础化工	上海市	0.22	0.81	9.25	8.99	6.71	6.71	190.97
171	601866	中远海发	2.43	股吧 行情 档案 资讯	交通运输	上海市	0.22	0.11	1.44	6.18	116.08	116.08	192.75
172	300010	立思辰	12.74	股吧 行情 档案 资讯	信息技术	北京市	0.22	0.07	3.87	1.79	8.68	7.11	90.53
173	600959	江苏有线	3.81	股吧 行情 档案 资讯	文化传媒	南京市	0.22	0.08	4.34	1.92	50.01	44.57	169.81
174	300251	光线传媒	10.57	股吧 行情 档案 资讯	文化传媒	北京市	0.22	0.38	3.19	12.32	29.34	27.84	294.25
175	601689	拓普集团	22.99	股吧 行情 档案 资讯	交运设备	宁波市	0.21	0.32	6.88	4.66	10.55	10.48	241.03
176	002048	宁波华翔	18.14	股吧 行情 档案 资讯	交运设备	宁波市	0.21	1.07	14.16	7.89	6.26	5.45	98.86
177	603233	大参林	58.17	股吧 行情 档案 资讯		广州市	0.21	1.07	6.45	16.98	5.47	1.10	64.18
178	002317	众生药业	14.34	股吧 行情 档案 资讯	医药生物	东莞市	0.21	0.45	5.03	9.21	8.14	7.82	112.10
179	000970	中科三环	10.75	股吧 行情 档案 资讯	有色金属	北京市	0.21	0.15	4.25	3.47	10.65	10.65	114.51
180	600776	东方通信	19.41	股吧 行情 档案 资讯	信息技术	杭州市	0.21	0.04	2.43	1.76	12.56	12.56	185.56
181	000089	深圳机场	9.03	股吧 行情 档案 资讯	交通运输	深圳市	0.21	0.23	5.83	4.07	20.51	20.51	185.18
182	600166	福田汽车	2.00	股吧 行情 档案 资讯	交运设备	北京市	0.21	0.04	2.30	1.70	65.75	65.75	131.50
183	600580	卧龙电驱	11.80	股吧 行情 档案 资讯	电气设备	绍兴市	0.21	0.63	5.16	12.75	13.01	12.99	153.24
184	600643	爱建集团	9.09	股吧 行情 档案 资讯	金融	上海市	0.21	0.63	6.47	10.15	16.22	14.34	130.36
185	600155	华创阳安	12.72	股吧 行情 档案 资讯	金融	北京市	0.21	0.19	8.68	2.16	17.40	17.40	221.27
186	600755	厦门国贸	7.04	股吧 行情 档案 资讯	商贸零售	厦门市	0.21	0.76	7.10	7.92	18.50	18.50	130.24
187	002028	思源电气	14.82	股吧 行情 档案 资讯	电气设备	上海市	0.21	0.54	6.46	8.66	7.60	5.87	87.03
188	600967	内蒙一机	10.61	股吧 行情 档案 资讯	交运设备	包头市	0.21	0.25	5.23	4.87	16.90	9.60	101.91
189	600037	歌华有线	9.13	股吧 行情 档案 资讯	文化传媒	北京市	0.21	0.34	9.57	3.59	13.92	13.92	127.07
190	600216	浙江医药	13.30	股吧 行情 档案 资讯	医药生物	绍兴市	0.20	0.38	8.10	4.66	9.65	9.65	128.36
191	300244	迪安诊断	24.47	股吧 行情 档案 资讯	医药生物	杭州市	0.20	0.57	6.44	9.17	6.20	4.54	111.14
192	603228	景旺电子	49.20	股吧 行情 档案 资讯	电子设备	深圳市	0.20	1.07	8.63	13.51	6.02	5.99	294.71
193	000729	燕京啤酒	6.31	股吧 行情 档案 资讯	食品饮料	北京市	0.20	0.23	4.81	4.82	28.19	25.09	158.35
194	000402	金融街	7.50	股吧 行情 档案 资讯	房地产	北京市	0.20	0.46	10.85	4.27	29.89	29.88	224.07
195	002221	东华能源	8.02	股吧 行情 档案 资讯	能源	苏州市	0.20	0.64	5.58	11.48	16.50	15.18	121.71
196	600511	国药股份	29.60	股吧 行情 档案 资讯	医药生物	北京市	0.20	1.40	13.08	11.14	7.55	2.78	82.18
197	000983	西山煤电	5.58	股吧 行情 档案 资讯	能源	太原市	0.20	0.57	6.71	8.82	31.51	31.51	175.84
198	600737	中粮糖业	8.22	股吧 行情 档案 资讯	农林牧渔	昌吉回族自治州	0.20	0.28	3.73	7.70	21.39	20.52	168.66
199	601098	中南传媒	12.24	股吧 行情 档案 资讯	文化传媒	长沙市	0.20	0.51	7.41	6.86	17.96	17.96	219.83
200	600022	山东钢铁	1.35	股吧 行情 档案 资讯	钢铁	莱芜市	0.20	0.04	1.89	2.40	109.47	109.47	147.78
201	600266	城建发展	7.73	股吧 行情 档案 资讯	房地产	北京市	0.20	0.86	11.06	7.45	18.80	18.80	145.36
202	600392	盛和资源	8.10	股吧 行情 档案 资讯	有色金属	成都市	0.20	0.15	3.10	4.84	17.55	14.34	116.18
203	600435	北方导航	8.46	股吧 行情 档案 资讯	电子设备	北京市	0.20	0.00	1.43	0.19	14.89	14.89	126.00
204	000825	太钢不锈	3.85	股吧 行情 档案 资讯	钢铁	太原市	0.20	0.32	5.56	5.94	56.96	56.96	219.30
205	600258	首旅酒店	17.20	股吧 行情 档案 资讯	餐饮旅游	北京市	0.20	0.73	8.88	8.49	9.88	9.79	168.37
206	600282	南钢股份	3.23	股吧 行情 档案 资讯	钢铁	南京市	0.19	0.54	3.73	14.89	44.30	44.30	143.07
207	600754	锦江酒店	26.05	股吧 行情 档案 资讯	餐饮旅游	上海市	0.19	0.91	13.58	6.81	9.58	9.58	208.90
208	002064	华峰氨纶	6.66	股吧 行情 档案 资讯	基础化工	温州市	0.19	0.21	2.45	9.03	42.98	15.56	103.64
209	600808	马钢股份	2.84	股吧 行情 档案 资讯	钢铁	马鞍山市	0.19	0.19	3.54	5.28	77.01	77.01	169.48
210	002589	瑞康医药	6.96	股吧 行情 档案 资讯	医药生物	烟台市	0.19	0.38	5.90	6.68	15.05	11.63	80.92
211	600167	联美控股	12.70	股吧 行情 档案 资讯	公用事业	沈阳市	0.19	0.40	2.94	14.30	22.88	22.88	290.59
212	300133	华策影视	7.73	股吧 行情 档案 资讯	文化传媒	杭州市	0.19	0.01	3.96	0.35	17.56	13.81	106.77
213	300027	华谊兄弟	4.23	股吧 行情 档案 资讯	文化传媒	金华市	0.19	-0.23	2.85	-7.89	27.88	22.11	93.54
214	600804	鹏博士	5.43	股吧 行情 档案 资讯	信息技术	成都市	0.19	0.03	4.85	0.67	14.32	14.32	77.78
215	000563	陕国投A	4.14	股吧 行情 档案 资讯	金融	西安市	0.19	0.12	2.71	4.34	39.64	39.64	164.11
216	600064	南京高科	9.52	股吧 行情 档案 资讯	房地产	南京市	0.19	1.20	9.31	14.27	12.36	12.36	117.66
217	601118	海南橡胶	4.78	股吧 行情 档案 资讯	农林牧渔	海口市	0.19	0.02	2.27	0.94	42.79	42.79	204.56
218	002038	双鹭药业	14.20	股吧 行情 档案 资讯	医药生物	北京市	0.19	0.49	4.66	10.84	10.27	10.27	145.88
219	600777	新潮能源	2.04	股吧 行情 档案 资讯	能源	烟台市	0.19	0.15	2.40	6.43	68.00	40.51	82.65
220	603816	顾家家居	45.81	股吧 行情 档案 资讯	轻工制造	杭州市	0.19	1.56	8.48	18.15	6.02	5.85	267.92
221	603883	老百姓	73.50	股吧 行情 档案 资讯	医药生物	长沙市	0.19	1.38	11.55	12.30	2.87	2.67	196.25
222	002242	九阳股份	26.82	股吧 行情 档案 资讯	家电	济南市	0.19	0.81	4.60	16.83	7.67	7.63	204.65
223	002399	海普瑞	22.80	股吧 行情 档案 资讯	医药生物	深圳市	0.19	0.54	5.48	10.41	12.47	12.47	284.36
224	000559	万向钱潮	5.90	股吧 行情 档案 资讯	交运设备	杭州市	0.19	0.15	1.84	8.08	27.53	27.53	162.44
225	000031	大悦城	6.34	股吧 行情 档案 资讯	房地产	深圳市	0.19	0.62	4.39	19.40	42.86	18.14	114.99
226	600026	中远海能	5.92	股吧 行情 档案 资讯	交通运输	上海市	0.18	0.14	7.03	2.06	40.32	40.32	161.97
227	002056	横店东磁	9.76	股吧 行情 档案 资讯	电子设备	金华市	0.18	0.30	3.12	10.12	16.44	16.24	158.54
228	002407	多氟多	12.05	股吧 行情 档案 资讯	基础化工	焦作市	0.18	0.14	5.01	2.83	6.84	5.79	69.82
229	600515	海航基础	4.95	股吧 行情 档案 资讯	商贸零售	海口市	0.18	0.14	7.94	1.79	39.08	16.58	82.09
230	601699	潞安环能	6.70	股吧 行情 档案 资讯	能源	长治市	0.18	0.71	8.75	8.44	29.91	29.91	200.42
231	002635	安洁科技	24.60	股吧 行情 档案 资讯	电子设备	苏州市	0.18	0.50	9.68	4.86	6.89	3.63	89.19
232	002831	裕同科技	30.33	股吧 行情 档案 资讯	轻工制造	深圳市	0.18	0.70	6.84	10.44	8.77	4.27	129.55
233	603885	吉祥航空	13.20	股吧 行情 档案 资讯	交通运输	上海市	0.18	0.68	6.36	11.27	19.66	17.97	237.21
234	002233	塔牌集团	11.12	股吧 行情 档案 资讯	建材	梅州市	0.18	0.88	7.66	11.63	11.92	11.62	129.22
235	000598	兴蓉环境	4.45	股吧 行情 档案 资讯	公用事业	成都市	0.18	0.31	3.72	8.66	29.86	29.86	132.89
236	002004	华邦健康	4.89	股吧 行情 档案 资讯	基础化工	重庆市	0.18	0.26	4.61	5.57	19.80	18.09	88.45
237	300026	红日药业	4.02	股吧 行情 档案 资讯	医药生物	天津市	0.18	0.17	2.30	7.75	30.06	24.34	97.83
238	002372	伟星新材	12.40	股吧 行情 档案 资讯	建材	台州市	0.18	0.44	2.29	19.13	15.73	14.15	175.42
239	601106	中国一重	2.88	股吧 行情 档案 资讯	机械设备	齐齐哈尔市	0.18	0.01	1.60	0.47	68.58	65.38	188.29
240	603077	和邦生物	1.47	股吧 行情 档案 资讯	基础化工	乐山市	0.17	0.05	1.27	4.20	88.31	88.31	129.82
241	002936	郑州银行	4.43	股吧 行情 档案 资讯	金融	郑州市	0.17	0.61	5.33	9.44	59.22	30.24	66.71
242	002583	海能达	8.22	股吧 行情 档案 资讯	信息技术	深圳市	0.17	0.06	3.36	1.77	18.40	10.48	86.11
243	002440	闰土股份	11.04	股吧 行情 档案 资讯	基础化工	绍兴市	0.17	0.94	7.37	13.10	11.51	9.37	103.48
244	002925	盈趣科技	55.05	股吧 行情 档案 资讯		厦门市	0.17	1.42	8.35	17.22	4.58	1.66	91.34
245	600782	新钢股份	4.71	股吧 行情 档案 资讯	钢铁	新余市	0.17	0.83	6.58	13.25	31.89	31.89	150.19
246	300180	华峰超纤	9.02	股吧 行情 档案 资讯	基础化工	上海市	0.17	0.06	3.05	2.01	17.04	10.26	92.53
247	000932	华菱钢铁	4.43	股吧 行情 档案 资讯	钢铁	长沙市	0.17	0.80	4.92	17.71	42.22	42.21	187.01
248	600640	号百控股	21.93	股吧 行情 档案 资讯	餐饮旅游	上海市	0.17	0.11	5.64	1.97	7.96	5.89	129.26
249	000807	云铝股份	4.72	股吧 行情 档案 资讯	有色金属	昆明市	0.17	0.11	3.29	3.47	31.28	26.07	123.04
250	000883	湖北能源	3.83	股吧 行情 档案 资讯	公用事业	武汉市	0.17	0.23	4.19	5.66	65.07	65.04	249.12
