上证50
上证50选取的是沪市中规模大、流动性最好的50只股票，也就是我们常说的“漂亮50”。
这是一个极不均匀的指数，行业的集中度非常高。从上图可以明显看出，金融股占据了62%的比重。银行、保险、证券成为了指数的三大巨头。当然有利必有弊，上证50常被人诟病的地方也在这，它的走势很容易被金融板块绑架。但不得不说，上证50是一个波动比较小，资产质量比较好的指数。

序号	股票代码	股票简称	最新价(元)	相关资料	主营行业	地区	权重(%)	每股收益(元)	每股净资产(元)	净资产收益率(%)	总股本(亿股)	流通股本(亿股)	流通市值(亿元)
13	601998	中信银行	5.82	股吧 行情 档案 资讯	金融	北京市	0.13	0.81	8.91	8.98	489.35	467.87	1856.88
14	601997	贵阳银行	8.87	股吧 行情 档案 资讯	金融	贵阳市	0.17	1.34	10.18	11.87	32.18	30.70	272.29
15	601992	金隅集团	3.40	股吧 行情 档案 资讯	建材	北京市	0.08	0.35	4.27	6.29	106.78	106.73	283.36
16	601989	中国重工	5.04	股吧 行情 档案 资讯	交运设备	北京市	0.34	0.05	3.68	1.45	228.02	182.84	921.51
17	601988	中国银行	3.61	股吧 行情 档案 资讯	金融	北京市	0.55	0.52	5.53	9.17	2943.88	2943.88	7608.64
18	601985	中国核电	4.85	股吧 行情 档案 资讯	公用事业	北京市	0.22	0.24	3.09	7.71	155.65	155.65	754.92
19	601939	建设银行	6.97	股吧 行情 档案 资讯	金融	北京市	0.34	0.90	8.29	10.96	2500.11	2500.11	668.68
20	601933	永辉超市	7.57	股吧 行情 档案 资讯	商贸零售	福州市	0.22	0.16	2.14	7.72	95.70	94.68	716.75
21	601919	中远海控	4.75	股吧 行情 档案 资讯	交通运输	天津市	0.13	0.18	2.51	7.88	122.60	102.16	362.69
22	601901	方正证券	8.04	股吧 行情 档案 资讯	金融	长沙市	0.25	0.13	4.70	2.81	82.32	82.32	661.86
23	601899	紫金矿业	4.29	股吧 行情 档案 资讯	有色金属	龙岩市	0.44	0.13	1.59	7.32	253.77	249.59	824.61
24	601898	中煤能源	4.67	股吧 行情 档案 资讯	能源	北京市	0.06	0.43	7.36	6.07	132.59	132.59	427.40
25	601888	中国国旅	82.00	股吧 行情 档案 资讯	餐饮旅游	北京市	0.59	2.15	9.98	23.50	19.52	19.52	1601.03
26	601881	中国银河	11.22	股吧 行情 档案 资讯		北京市	0.11	0.38	6.86	5.70	101.37	101.37	723.27
27	601878	浙商证券	10.57	股吧 行情 档案 资讯	金融	杭州市	0.11	0.21	4.24	5.00	33.33	12.09	127.74
28	601877	正泰电器	26.66	股吧 行情 档案 资讯	电气设备	温州市	0.21	1.33	10.84	12.74	21.51	21.51	573.45
29	601857	中国石油	5.64	股吧 行情 档案 资讯	能源	北京市	0.40	0.20	6.70	3.06	1830.21	1830.21	9132.41
30	601838	成都银行	8.68	股吧 行情 档案 资讯	金融	成都市	0.12	1.11	9.40	12.30	36.12	18.94	164.41
31	601828	美凯龙	11.68	股吧 行情 档案 资讯	轻工制造	上海市	0.03	1.07	12.55	8.77	35.50	10.70	46.23
32	601818	光大银行	4.02	股吧 行情 档案 资讯	金融	北京市	0.48	0.57	5.99	8.96	524.89	466.79	1600.39
33	601808	中海油服	16.46	股吧 行情 档案 资讯	能源	天津市	0.08	0.44	7.63	5.97	47.72	47.72	487.29
34	601800	中国交建	8.40	股吧 行情 档案 资讯	建筑	北京市	0.15	0.76	11.68	6.50	161.75	161.75	986.77
35	601788	光大证券	12.40	股吧 行情 档案 资讯	金融	上海市	0.18	0.49	10.68	4.70	46.11	46.11	484.43
36	601766	中国中车	6.76	股吧 行情 档案 资讯	交运设备	北京市	0.48	0.29	4.62	6.45	286.99	286.99	1644.56
37	601727	上海电气	4.85	股吧 行情 档案 资讯	电气设备	上海市	0.13	0.15	4.07	3.72	151.52	132.57	498.77
38	601698	中国卫通	13.70	股吧 行情 档案 资讯		北京市	0.04	0.08	2.80	2.92	40.00	4.00	54.80
39	601688	华泰证券	18.94	股吧 行情 档案 资讯	金融	南京市	0.62	0.75	13.21	5.77	90.77	90.77	1393.53
40	601669	中国电建	4.07	股吧 行情 档案 资讯	建筑	北京市	0.23	0.36	5.47	6.62	152.99	111.44	453.58
41	601668	中国建筑	5.47	股吧 行情 档案 资讯	建筑	北京市	0.85	0.68	5.81	11.79	419.76	411.41	2250.42
42	601633	长城汽车	8.35	股吧 行情 档案 资讯	交运设备	保定市	0.08	0.32	5.81	5.53	91.27	91.27	503.32
43	601628	中国人寿	32.26	股吧 行情 档案 资讯	金融	北京市	0.40	2.03	13.48	16.32	282.65	282.65	6717.67
44	601618	中国中冶	2.69	股吧 行情 档案 资讯	建筑	北京市	0.14	0.19	3.39	4.53	207.24	207.24	480.24
45	601607	上海医药	18.91	股吧 行情 档案 资讯	医药生物	上海市	0.16	1.20	14.40	8.50	28.42	28.42	363.63
46	601601	中国太保	35.96	股吧 行情 档案 资讯	金融	上海市	0.84	2.53	18.79	14.33	90.62	90.62	2260.70
47	601600	中国铝业	3.30	股吧 行情 档案 资讯	有色金属	北京市	0.16	0.04	2.89	1.53	170.23	149.04	361.67
48	601577	长沙银行	8.64	股吧 行情 档案 资讯	金融	长沙市	0.07	1.21	9.84	12.83	34.22	9.95	86.00
49	601555	东吴证券	9.14	股吧 行情 档案 资讯	金融	苏州市	0.17	0.31	6.91	4.53	30.00	30.00	274.20
50	601398	工商银行	5.72	股吧 行情 档案 资讯	金融	北京市	0.90	0.71	6.79	10.10	3564.06	3564.06	15421.82
51	601390	中国中铁	5.56	股吧 行情 档案 资讯	建筑	北京市	0.33	0.61	7.39	7.69	245.71	228.44	1036.21
52	601377	兴业证券	6.80	股吧 行情 档案 资讯	金融	福州市	0.24	0.26	5.14	5.24	66.97	66.97	455.37
53	601360	三六零	24.57	股吧 行情 档案 资讯	机械设备	天津市	0.07	0.77	4.12	19.97	67.64	3.97	97.59
54	601336	新华保险	47.99	股吧 行情 档案 资讯	金融	北京市	0.30	4.17	25.58	17.89	31.20	31.20	1000.80
55	601328	交通银行	5.47	股吧 行情 档案 资讯	金融	上海市	1.09	0.77	9.10	8.16	742.63	742.63	2147.02
56	601319	中国人保	7.26	股吧 行情 档案 资讯		北京市	0.06	0.48	4.05	12.88	442.24	143.28	406.67
57	601318	中国平安	83.49	股吧 行情 档案 资讯	金融	深圳市	6.64	7.29	35.08	21.64	182.80	182.80	9044.19
58	601298	青岛港	6.56	股吧 行情 档案 资讯		青岛市	0.02	0.46	4.55	10.42	64.91	29.69	122.67
59	601288	农业银行	3.52	股吧 行情 档案 资讯	金融	北京市	0.98	0.51	4.91	10.07	3499.83	3247.94	10350.75
60	601238	广汽集团	10.86	股吧 行情 档案 资讯	交运设备	广州市	0.08	0.62	7.74	8.12	102.38	91.83	660.76
61	601236	红塔证券	18.06	股吧 行情 档案 资讯		昆明市	0.06	0.16	3.60	4.35	36.33	3.64	65.74
62	601229	上海银行	8.91	股吧 行情 档案 资讯	金融	上海市	0.46	1.15	10.79	9.78	142.07	132.62	1181.62
63	601225	陕西煤业	8.39	股吧 行情 档案 资讯	能源	西安市	0.25	0.94	5.64	16.97	100.00	100.00	839.00
64	601216	君正集团	2.92	股吧 行情 档案 资讯	基础化工	乌海市	0.07	0.23	2.19	11.12	84.38	84.38	246.39
65	601212	白银有色	3.32	股吧 行情 档案 资讯	有色金属	白银市	0.04	0.00	1.63	0.07	74.05	19.65	65.23
66	601211	国泰君安	17.57	股吧 行情 档案 资讯	金融	上海市	0.60	0.69	13.37	5.06	89.08	89.08	1320.58
67	601198	东兴证券	12.27	股吧 行情 档案 资讯	金融	北京市	0.13	0.40	7.39	5.56	27.58	27.58	338.40
68	601186	中国铁建	9.42	股吧 行情 档案 资讯	建筑	北京市	0.32	1.04	11.86	8.31	135.80	135.80	1083.61
69	601169	北京银行	5.42	股吧 行情 档案 资讯	金融	北京市	0.59	0.83	8.78	9.13	211.43	182.48	989.04
70	601166	兴业银行	18.59	股吧 行情 档案 资讯	金融	福州市	2.00	2.57	22.85	11.02	207.74	190.52	3541.83
71	601162	天风证券	6.40	股吧 行情 档案 资讯		武汉市	0.02	0.04	2.33	1.59	51.80	23.53	150.56
72	601155	新城控股	34.00	股吧 行情 档案 资讯	房地产	常州市	0.23	1.67	13.00	12.27	22.57	22.46	763.76
73	601138	工业富联	20.00	股吧 行情 档案 资讯		深圳市	0.27	0.52	4.06	13.32	198.55	18.39	367.76
74	601117	中国化学	7.02	股吧 行情 档案 资讯	建筑	北京市	0.13	0.50	6.42	7.25	49.33	49.33	346.30
75	601111	中国国航	8.25	股吧 行情 档案 资讯	交通运输	北京市	0.19	0.49	6.46	7.23	145.25	140.11	779.51
76	601108	财通证券	10.82	股吧 行情 档案 资讯	金融	杭州市	0.21	0.27	5.56	4.96	35.89	24.07	260.40
77	601088	中国神华	17.28	股吧 行情 档案 资讯	能源	北京市	0.42	1.86	17.44	10.99	198.90	198.90	2849.65
