symbol,name,mktcap,nmc,turnoverratio
SZ300242,佳云科技,425786.555304,395344.727954,20.05321
SH600988,赤峰黄金,1613994.03666,1383590.05112,5.71932
SZ002481,双塔食品,2168472.16,1930830.6216,4.01951
SH600522,中天科技,3581225.404688,3581225.404688,2.16642
SZ300003,乐普医疗,6531539.608386,5554605.561726,1.38844
SH600309,万华化学,15365919.987644,6967863.91948,1.10613
SZ300832,新产业,6620174.4,662660.8,11.60125
SH688157,松井股份,909270.8,206809.919562,37.06313
SZ300450,先导智能,4213313.1706,4052929.8784,1.89103
SZ002083,孚日股份,511204.002815,496734.306035,15.37834
SZ002019,亿帆医药,2841169.813369,1860747.666059,4.09829
SZ000988,华工科技,2393096.44266,2392321.21716,3.16956
SH603559,中通国脉,320734.957266,320734.957266,23.5637
SH600986,科达股份,669222.142305,662278.93417,11.41153
SZ002008,大族激光,3646178.524866,3395018.811453,2.22544
SH600009,上海机场,13781606.820096,7820543.191344,0.9583
SH601878,浙商证券,3370014.337665,1221816.101916,6.13116
SH600315,上海家化,3456929.57415,3456929.57415,2.15867
SH600640,号百控股,1676531.34558,1676531.34558,4.44622
SZ300364,中文在线,504742.94514,432591.489144,17.19418
SZ002208,合肥城建,779534.419978,575059.639034,12.92779
SZ002938,鹏鼎控股,11228930.904128,1302717.194422,5.69536
SH601933,永辉超市,8948382.07098,8852815.06648,0.83592
SH600446,金证股份,1615046.788468,1601476.078468,4.60356
SH603608,天创时尚,581879.118051,574648.20303,12.78527
SZ002605,姚记科技,1413094.670671,957435.870406,7.66218
SZ300009,安科生物,2250159.36632,1566676.53952,4.61007
SH603993,洛阳钼业,8186112.180957,6695327.808957,1.07699
SZ300463,迈克生物,3149746.971,2206450.6786,3.26414
SZ002926,华西证券,2858625,1936402.554537,3.70633
SH600233,圆通速递,5148570.868676,5137487.432292,1.39558
SH600438,通威股份,6376041.402108,6376041.402108,1.12293
SZ002036,联创电子,1138204.919425,1130716.3658,6.32804
SZ002001,新 和 成,5930307.948,5855288.56188,1.21794
SZ002180,纳思达,3662177.396556,3467667.28854,2.0489
SZ002340,格林美,2263033.997961,1952167.738906,3.60952
SZ002405,四维图新,3118885.4403,3037025.80239,2.30645
SZ300097,智云股份,474952.755174,357747.468486,19.41447
SZ300618,寒锐钴业,1670570.1848,1162686.0248,5.92296
SH600521,华海药业,4851117.836745,4588701.54417,1.49893
SZ300168,万达信息,2536681.051632,2518575.02976,2.72624
SZ002271,东方雨虹,6539723.047702,4588565.637012,1.47854
SZ300146,汤臣倍健,3364379.169804,1897851.781758,3.55575
SZ000860,顺鑫农业,4089361.410357,4089361.410357,1.64876
SH601288,农业银行,117244316.34745,98508523.45784,0.06842
SZ300316,晶盛机电,2931204.728648,2752351.15533,2.44528
SZ300413,芒果超媒,11597379.106654,5432807.895472,1.22057
SZ002169,智光电气,824030.425724,795139.88062,8.29808
SZ002601,龙蟒佰利,3667797.704645,2599510.801145,2.49891
SZ000066,中国长城,3885697.584331,3305181.869043,1.95989
SZ002338,奥普光电,682800,682731.57775,9.48718
SZ002152,广电运通,2958244.571828,2939046.678036,2.19801
SZ300113,顺网科技,1762101.01512,1227779.806482,5.23512
SZ300598,诚迈科技,1768000,1767995.036,3.62967
SZ300246,宝莱特,488664.36,360436.678425,17.6656
SZ002467,二六三,964950.824257,826968.465953,7.69953
SH601777,力帆股份,722566.66845,707204.45345,8.97715
SH600260,凯乐科技,1321944.553309,1253625.015864,5.05345
SZ300418,昆仑万维,2531731.9176,2165210.2764,2.92136
SZ000166,申万宏源,11518374.4976,10365830.5343,0.60943
SH601138,工业富联,28516238.197825,2680468.53781,2.34422
SZ002939,长城证券,3888566.904803,2085218.706543,3.00772
SZ300661,圣邦股份,4086978.392265,4042190.4606,1.54792
SZ002409,雅克科技,2136531.769848,1074823.293744,5.81936
SZ000851,高鸿股份,721565.744265,692198.64699,8.97299
SZ002025,航天电器,1382667,1382340.742156,4.49241
SH600010,包钢股份,5059938.623928,3516170.486157,1.76191
SH600127,金健米业,627022.203986,627022.203986,9.83052
SZ002299,圣农发展,3308592.402408,2914428.658575,2.11303
SH601606,长城军工,928460.8088,381685.810162,16.11219
SZ000877,天山股份,1651738.660425,1386149.465925,4.39783
SZ300026,红日药业,1638109.136165,1450338.519275,4.20118
SZ300182,捷成股份,1161307.323957,895296.487536,6.79549
SZ300495,美尚生态,750473.070144,512942.683785,11.80525
SH600487,亨通光电,3270866.7154,3118438.832725,1.94035
