symbol,name,mktcap,nmc,turnoverratio
SH601988,中国银行,102152563.56063,73135633.651562,0.05138
SH601989,中国重工,9234824.30622,7404982.394535,0.30882
SH601990,南京证券,4852569.227284,3031713.896683,7.76473
SH601991,大唐发电,3960436.047856,2138793.04,0.1272
SH601992,金隅集团,3352820.136076,2616925.694896,0.23593
SH601996,丰林集团,289871.4104,273326.2477,0.45674
SH601997,贵阳银行,2413521.495,2302379.7345,0.80974
SH601998,中信银行,24761019.881906,16144025.82881,0.05701
SH601999,出版传媒,360849.1285,360849.1285,1.28735
SH603000,人民网,2248975.607904,2248975.607904,1.13639
SH603001,奥康国际,298730.1,298730.1,0.33433
SH603002,宏昌电子,308434.6734,308434.6734,1.76216
SH603003,龙宇燃油,363216.254544,363216.254544,2.07612
SH603005,晶方科技,2209378.549427,2209378.549427,4.13801
SH603006,联明股份,199867.782556,199867.782556,0.62773
SH603007,花王股份,210683.625,208359.375,1.48592
SH603008,喜临门,428687.014552,424609.894552,0.90008
SH603009,北特科技,216837.300412,198137.001372,1.06872
SH603010,万盛股份,502500.628476,498630.059676,1.26367
SH603011,合锻智能,220194.349884,218189.308284,0.59985
SH603012,创力集团,455776.96,455776.96,1.3179
SH603013,亚普股份,786772.665,91800,4.24707
SH603015,弘讯科技,246288.24,244552.495,0.51097
SH603016,新宏泰,338397.44,338397.44,0.54367
SH603017,中衡设计,298856.223336,295044.221949,0.36712
SH603018,中设集团,567277.617024,561905.70432,1.01269
SH603019,中科曙光,5143101.06685,5143101.06685,2.28299
SH603020,爱普股份,320320,320320,1.25778
SH603021,山东华鹏,208606.14164,208606.14164,0.92914
SH603022,新通联,333400,333400,1.24782
SH603023,威帝股份,271974.928176,271974.928176,4.07285
SH603025,大豪科技,684389.164429,678645.577356,0.34244
SH603026,石大胜华,524130.48,524130.48,2.31899
SH603027,千禾味业,1856956.579142,1840103.762164,1.3667
SH603028,赛福天,249283.2,249283.2,0.84988
SH603029,天鹅股份,146730.48,146730.48,1.97002
SH603030,全筑股份,358947.806211,357378.221811,3.40861
SH603031,安德利,405440,405440,1.75409
SH603032,德新交运,269613.48,269613.48,0.81371
SH603033,三维股份,1018583.11556,594825.112,0.68496
SH603035,常熟汽饰,337680,337680,2.75355
SH603036,XD如通股,186253.832,183837.44,0.40325
SH603037,凯众股份,173445.0443,171933.31265,1.33213
SH603038,华立股份,193804.916718,193440.278514,0.43058
SH603039,泛微网络,1460599.32832,1422799.19792,0.50865
SH603040,新坐标,261729.188217,260214.953218,1.12779
SH603041,美思德,188523.71832,187320,0.90151
SH603042,XD华脉科,221544,221544,4.2845
SH603043,广州酒家,1296827.75064,402878.18904,2.94595
SH603045,福达合金,182896.98,126165.550326,3.52943
