http://www.shdjt.com/flsort.asp?lb=993505
序	股票代码	股票名称	行业	最新	涨幅↓	市值亿元	市盈率%	涨幅3日%	涨幅半年	净额万元	ddx	ddy	ddz	主动率	通吃率	ddx红	特大差	大单差	中单差	小单差	活跃度	单数比	特大买入	特大卖出	大单买入	大单卖出	中单买入	中单卖出	小单买入	小单卖出	换手率	量比
37	002601	龙蟒佰利 点评	化学制品	16.18	1.89%	233	12	23.61	10.67	-120	0	.07	3.35	8.57	-.4	4	0	-1.5	1.1	-5.5	5.9	82	1.10	12.3	13.8	28.3	27.2	28.5	34.0	30.9	25.0	1.31	0.82
38	600309	万华化学 点评	化学制品	56.94	1.88%	811	17	27.38	32.85	7414	.09	.04	12.7	6.2	7.3	4	1	8.2	-.9	-7.5	0.2	132	1.08	26.7	18.5	43.0	43.9	13.9	21.4	16.4	16.2	1.25	0.90
39	000001	平安银行 点评	金融服务	17.18	1.84%	3334	11	20.14	22.8	34078	.1	.13	54.7	1.53	17.8	2	1	16.9	.9	-7.8	-10.0	123	1.74	43.8	26.9	26.4	25.5	20.0	27.8	9.8	19.8	0.58	1.21
40	600816	安信信托 点评	其他金融	4.54	1.79%	239	-54	-2.78	-9.74	3252	.14	.06	10.82	3.75	5.8	6	1	7.9	-2.1	-1.4	-4.4	117	1.09	25.3	17.4	36.0	38.1	18.2	19.6	20.5	24.9	2.35	0.88
41	600038	中直股份 点评	运输设备	48.65	1.76%	287	53	-3.93	14.12	2092	.07	-.02	3.9	14.4	5.5	3	1	9.7	-4.2	-3.8	-1.7	105	0.97	13.2	3.5	42.2	46.4	16.3	20.1	28.3	30.0	1.32	1.85
42	000100	TCL集团 点评	电子设备	4.65	1.75%	589	18	41.77	39.22	1942	.03	-.04	-.86	15.13	1.2	4	1	.6	.6	-1.2	0.0	125	0.97	30.7	30.1	32.2	31.6	22.3	23.5	14.8	14.8	2.75	1.01
43	603858	步长制药 点评	医药制造	21.11	1.73%	241	13	10.18	10.94	1736	.07	.08	12.27	-4.68	4.2	3	1	-.3	4.5	-1.3	-2.9	117	1.15	11.1	11.4	49.3	44.8	19.0	20.3	20.6	23.5	1.71	1.74
44	601012	隆基股份 点评	非金属	26.98	1.70%	1016	22	-6.64	21.1	4127	.04	.02	5.1	5.59	2.5	3	1	-3.4	5.9	.4	-2.9	138	1.04	20.4	23.8	49.9	44.0	15.3	14.9	14.4	17.3	1.63	1.52
45	600733	北汽蓝谷 点评	汽车制造	6.08	1.67%	103	-59	-10.98	-33.19	251	.02	-.08	-4.61	9.97	1.6	2	1	1.2	.4	.4	-2.0	100	0.88	6.7	5.5	43.9	43.5	18.5	18.1	30.9	32.9	1.53	1.67
46	000338	潍柴动力 点评	汽车制造	16.42	1.61%	697	14	4.92	35.59	-1585	-.02	-.01	-5.9	1.69	-2	0	0	-2.3	.3	1.5	0.5	92	0.92	11.7	14.0	33.3	33.0	33.0	31.5	22.0	21.5	1.15	0.95
